image_name,psnr_400,psnr_500,psnr_600
01619.jpg,23.324508666992188,20.041985511779785,17.912827730178833
01995.jpg,23.2250714302063,19.22816753387451,15.708670616149902
00045.jpg,22.12937593460083,18.79046320915222,16.314921379089355
01581.jpg,21.8251633644104,21.156761646270752,18.55744361877441
00963.jpg,22.39065170288086,19.57093715667725,15.756124258041382
01456.jpg,21.387171745300293,19.05569553375244,15.003150701522827
01053.jpg,22.102606296539307,17.687066793441772,16.178654432296753
00523.jpg,20.68758726119995,17.784348726272583,15.53890824317932
00416.jpg,21.047918796539307,19.35235619544983,16.021188497543335
00766.jpg,22.26245164871216,18.83995056152344,15.908935070037842
00866.jpg,20.83037614822388,18.38067412376404,13.79218816757202
01526.jpg,21.454949378967285,18.98585081100464,15.10900378227234
00910.jpg,20.74287414550781,18.312169313430783,14.407297372817991
01823.jpg,20.56398630142212,17.966697216033936,15.49223780632019
01206.jpg,21.839935779571533,19.31918263435364,15.302832126617432
01074.jpg,20.75070142745972,17.75511622428894,14.212231636047363
00645.jpg,20.472912788391117,18.655622005462646,15.045944452285768
01593.jpg,20.373706817626957,18.71276378631592,15.318834781646729
01531.jpg,20.124428272247314,18.688342571258545,15.553377866744995
00740.jpg,21.009621620178223,18.64295721054077,17.49497413635254
01202.jpg,21.386678218841556,20.141544342041016,15.848938226699827
00934.jpg,20.262224674224854,18.415980339050293,16.155771017074585
01116.jpg,20.95242977142334,17.935872077941895,14.921458959579468
00618.jpg,20.607240200042725,18.18775057792664,14.282304048538208
00366.jpg,22.351090908050537,19.39771294593811,17.181280851364136
00259.jpg,21.80470943450928,19.988240003585812,16.098754405975342
01988.jpg,21.18536949157715,18.49098324775696,13.90681505203247
00220.jpg,20.670616626739506,18.22527766227722,14.016367197036743
00498.jpg,22.0099139213562,19.72635507583618,17.102993726730347
00341.jpg,20.73083877563477,18.725191354751587,14.581118822097778
01991.jpg,21.422693729400635,18.024346828460693,15.14871597290039
01016.jpg,20.35292625427246,19.570142030715942,14.6315336227417
