image_name,psnr_300,psnr_330,psnr_380,psnr_400,psnr_420,psnr_500,psnr_600,psnr_slope,psnr_delta,psnr_auc
00480.jpg,21.5871810913086,20.50343513488769,19.2355215549469,19.10572528839112,19.082099199295044,15.969235897064207,11.812856197357178,0.032581082979838,9.774324893951423,5181.28188252449
00866.jpg,23.48928213119507,22.584428787231445,22.213523387908936,20.83037614822388,20.7810115814209,18.38067412376404,13.79218816757202,0.0323236465454101,9.697093963623049,5832.7178835868835
01995.jpg,25.268473625183105,24.13689136505127,23.724753856658936,23.2250714302063,22.01242685317993,19.22816753387451,15.708670616149902,0.0318660100301106,9.559803009033203,6255.960524082184
01759.jpg,21.501855850219727,20.40506362915039,19.583557844161987,19.29339289665222,18.666681051254272,15.939491987228394,12.006652355194092,0.0316506783167521,9.495203495025637,5178.243714570999
01988.jpg,23.11873435974121,22.327024936676025,20.44394493103028,21.18536949157715,20.04438877105713,18.49098324775696,13.90681505203247,0.0307063976923624,9.21191930770874,5740.856158733368
00378.jpg,22.18439817428589,21.59754514694214,20.54088592529297,20.206644535064697,20.076615810394287,18.040281534194943,13.000150918960571,0.030614157517751,9.184247255325316,5597.19535112381
00708.jpg,22.30292558670044,22.037582397460938,20.89216470718384,20.487699508666992,20.29873847961425,16.969692707061768,13.279850482940674,0.0300769170125325,9.023075103759766,5563.228726387024
00597.jpg,22.703416347503666,22.400693893432617,22.003729343414307,21.06346607208252,20.594072341918945,17.99130082130432,13.719154596328735,0.0299475391705831,8.98426175117493,5762.857270240784
01206.jpg,24.00361061096192,23.015525341033936,22.88555860519409,21.839935779571533,20.80395221710205,19.31918263435364,15.302832126617432,0.0290025949478149,8.70077848434449,6062.5340938568115
01931.jpg,22.97060489654541,22.130236625671387,21.44371032714844,20.294649600982662,20.288960933685303,17.849537134170532,14.325931072235107,0.0288155794143676,8.644673824310303,5723.394334316254
00045.jpg,24.929568767547607,23.96026372909546,22.761123180389404,22.12937593460083,21.90574884414673,18.79046320915222,16.314921379089355,0.0287154912948608,8.614647388458252,6173.756110668182
00869.jpg,23.05305004119873,22.281084060668945,21.028292179107662,20.740821361541748,19.64242458343506,18.601325750350952,14.489116668701172,0.0285464445749918,8.563933372497559,5768.542146682739
00910.jpg,22.900586128234863,21.528446674346924,20.741124153137207,20.74287414550781,19.867331981658936,18.312169313430783,14.407297372817991,0.0283109625180562,8.493288755416872,5707.270193099976
00120.jpg,22.67770767211914,22.197906970977783,20.942981243133545,20.53954601287841,19.93498921394348,17.43191957473755,14.222967624664308,0.0281824668248494,8.454740047454832,5648.64776134491
00220.jpg,22.45239019393921,21.673707962036133,20.856549739837646,20.670616626739506,19.746429920196533,18.22527766227722,14.016367197036743,0.0281200766563415,8.436022996902466,5675.540590286255
00560.jpg,23.15557718276977,22.367172241210938,20.516839027404785,20.93634605407715,20.12763500213623,18.66737484931945,14.79755163192749,0.0278600851694742,8.358025550842278,5805.159902572632
01564.jpg,22.70406484603882,21.88485622406006,21.29382610321045,20.97393751144409,20.79782247543335,17.745720148086548,14.35346245765686,0.0278353412946065,8.350602388381958,5735.396945476532
01456.jpg,23.316261768341064,22.638850212097168,21.818177700042725,21.387171745300293,20.887458324432373,19.05569553375244,15.003150701522827,0.0277103702227274,8.313111066818237,5956.220638751984
00618.jpg,22.5896430015564,22.02310085296631,20.753438472747803,20.607240200042725,19.52686905860901,18.18775057792664,14.282304048538208,0.0276911298433939,8.307338953018192,5685.640037059784
01267.jpg,21.386983394622803,20.95824718475341,19.884847402572632,19.52044367790222,19.130743741989136,16.496113538742065,13.092827796936035,0.0276471853256225,8.294155597686768,5341.34196639061
