image_name,lpips,psnr,cos_sim,lpips_norm,psnr_norm,combined_score
00518.jpg,0.2173850983381271,17.299703359603882,0.9613864421844482,1.0,0.22008644434343275,1.7799135556565673
01060.jpg,0.2013323456048965,16.64671301841736,0.9618182182312012,0.9114350317256229,0.1561774594146071,1.7552575723110158
00589.jpg,0.1666504144668579,15.20582914352417,0.9426629543304444,0.7200906447547811,0.015156344649859108,1.704934300104922
00140.jpg,0.1726340055465698,15.74175238609314,0.9553107619285583,0.7531028366790056,0.0676078255861816,1.685495011092824
00229.jpg,0.1858857274055481,16.570205688476562,0.9587435722351074,0.826214180603948,0.1486895909306009,1.677524589673347
01307.jpg,0.165475457906723,15.579627752304075,0.9232040047645568,0.7136082680433584,0.05174048402858718,1.6618677840147713
01510.jpg,0.1742934286594391,16.236432790756226,0.960425853729248,0.7622580736522135,0.11602281817053285,1.6462352554816806
00967.jpg,0.1710043400526046,16.358566284179688,0.961673378944397,0.7441117760696874,0.12797617658671082,1.6161355994829765
00854.jpg,0.2035344392061233,18.33194851875305,0.9792885780334472,0.9235842470764665,0.3211135746973771,1.6024706723790894
00345.jpg,0.1433647274971008,15.050969123840332,0.9505804777145386,0.5916207080407819,0.0,1.5916207080407818
01308.jpg,0.1624984592199325,16.1428964138031,0.9786627292633056,0.6971838080999453,0.10686829546483377,1.5903155126351116
01889.jpg,0.1579374969005584,15.893656015396118,0.971444308757782,0.6720204302152413,0.08247482459587281,1.5895456056193684
00351.jpg,0.1480152159929275,15.570998191833496,0.9437457919120787,0.6172780126126414,0.05089589810553276,1.5663821145071086
00126.jpg,0.1927180141210556,18.1872296333313,0.9708749055862428,0.8639087284647493,0.30694975559627136,1.556958972868478
00408.jpg,0.1386014223098755,15.1882803440094,0.9665333032608032,0.5653409802085271,0.01343882159787863,1.5519021586106483
00608.jpg,0.1372624039649963,15.170104503631592,0.9490764737129213,0.5579534548909819,0.011659929268991575,1.5462935256219903
01150.jpg,0.2026376128196716,18.95801782608032,0.9692400693893432,0.9186363479974944,0.3823877642262381,1.5362485837712563
01382.jpg,0.1544646173715591,16.287615299224854,0.9789533615112304,0.6528601360016608,0.12103211456593954,1.5318280214357212
00996.jpg,0.1686176359653473,17.13862895965576,0.9146686792373656,0.7309440424553337,0.20432189049107555,1.5266221519642582
01744.jpg,0.1599608659744262,16.705152988433838,0.9469236135482788,0.6831836008447557,0.16189705268797433,1.5212865481567812
00762.jpg,0.143914982676506,15.87164044380188,0.9511035680770874,0.5946565320715071,0.08032013294965479,1.5143363991218524
01027.jpg,0.1426020562648773,15.838994979858398,0.9268771409988404,0.5874129590890504,0.07712508038675245,1.510287878702298
01934.jpg,0.2005912661552429,19.1118597984314,0.9740945100784302,0.9073464072362233,0.3974444713048465,1.5099019359313768
01789.jpg,0.1679212749004364,17.27272391319275,0.9584816694259644,0.7271021346750142,0.2174459320336425,1.5096562026413718
00234.jpg,0.1403379589319229,15.789188146591188,0.9660837650299072,0.5749216616900622,0.07225042305132728,1.5026712386387349
01779.jpg,0.1808215975761413,18.15917730331421,0.951566755771637,0.7982747670259704,0.3042042388202912,1.4940705282056792
00856.jpg,0.1658028662204742,17.38547444343567,0.9720131158828736,0.7154146191036421,0.2284809680571747,1.4869336510464675
01073.jpg,0.1564025431871414,16.903873682022095,0.9544621706008912,0.6635519058947987,0.1813460965873082,1.4822058093074906
01538.jpg,0.1901760250329971,18.855828046798703,0.9847087860107422,0.8498842688172975,0.3723863221649024,1.4774979466523952
00519.jpg,0.1478488445281982,16.540228128433228,0.9794156551361084,0.6163601212241439,0.14575564947362427,1.4706044717505196
