image_name,worse_part,worse_value,all_noise,difference
01115.jpg,center,21.05198621749878,18.6214280128479,2.430558204650879
01115.jpg,right,20.612146854400635,18.6214280128479,1.9907188415527344
01710.jpg,bottom,20.94297885894776,19.09848570823669,1.8444931507110702
00093.jpg,right,21.439995765686035,19.708174467086792,1.7318212985992432
00934.jpg,right,21.885368824005127,20.262224674224854,1.6231441497802734
00866.jpg,center,22.418665885925293,20.83037614822388,1.5882897377014125
01019.jpg,right,20.886318683624268,19.3272864818573,1.5590322017669678
00363.jpg,left,22.390382289886475,20.84491729736328,1.5454649925231934
01710.jpg,left,20.63532590866089,19.09848570823669,1.5368402004241979
00913.jpg,center,21.66470766067505,20.150818824768063,1.513888835906986
00646.jpg,center,20.97298145294189,19.46027994155884,1.5127015113830495
00645.jpg,right,21.984002590179443,20.47291278839112,1.511089801788323
01531.jpg,center,21.62990093231201,20.124428272247314,1.5054726600646973
01433.jpg,center,21.68769359588623,20.198097229003903,1.4895963668823278
01710.jpg,center,20.570507049560547,19.09848570823669,1.472021341323856
01710.jpg,right,20.567452907562256,19.09848570823669,1.468967199325565
00323.jpg,bottom,21.141278743743896,19.685922861099243,1.4553558826446533
01135.jpg,center,20.446341037750244,19.01105165481568,1.4352893829345632
00869.jpg,center,22.162556648254395,20.740821361541748,1.4217352867126465
00431.jpg,center,20.786139965057373,19.376702308654785,1.409437656402588
01019.jpg,center,20.72869777679444,19.3272864818573,1.401411294937141
00646.jpg,left,20.847885608673096,19.46027994155884,1.3876056671142543
00323.jpg,top,21.067943572998047,19.685922861099243,1.3820207118988037
00306.jpg,center,20.22251605987549,18.866654634475708,1.3558614253997803
00220.jpg,center,22.01891183853149,20.670616626739506,1.348295211791985
00323.jpg,center,21.019763946533203,19.685922861099243,1.33384108543396
01626.jpg,center,21.68912172317505,20.36439657211304,1.3247251510620082
01989.jpg,right,20.86389303207397,19.54341173171997,1.3204813003540004
00092.jpg,bottom,21.068055629730225,19.759411811828613,1.3086438179016113
00268.jpg,left,23.088324069976807,21.81323528289795,1.2750887870788574
01823.jpg,left,21.83503150939941,20.56398630142212,1.2710452079772914
01593.jpg,top,21.64272785186768,20.37370681762696,1.269021034240719
00866.jpg,right,22.089145183563232,20.83037614822388,1.258769035339352
01989.jpg,left,20.79373359680176,19.54341173171997,1.2503218650817907
01823.jpg,center,21.796720027923584,20.56398630142212,1.2327337265014648
01115.jpg,left,19.853595495224,18.6214280128479,1.2321674823760986
00093.jpg,center,20.93931674957276,19.708174467086792,1.231142282485969
00556.jpg,center,21.17429494857788,19.95156764984131,1.2227272987365723
00306.jpg,left,20.087978839874268,18.866654634475708,1.2213242053985596
01873.jpg,center,21.38984441757202,20.18240451812744,1.20743989944458
01367.jpg,left,19.88518476486206,18.678207397460938,1.206977367401123
01593.jpg,bottom,21.57065868377685,20.37370681762696,1.1969518661498881
00323.jpg,right,20.881385803222656,19.685922861099243,1.195462942123413
01433.jpg,bottom,21.391608715057373,20.198097229003903,1.1935114860534703
01335.jpg,left,22.660367488861084,21.474761962890625,1.185605525970459
01135.jpg,bottom,20.18846035003662,19.01105165481568,1.1774086952209402
00556.jpg,top,21.127159595489506,19.95156764984131,1.175591945648197
01710.jpg,top,20.27360200881958,19.09848570823669,1.1751163005828893
01929.jpg,center,21.76375150680542,20.59868574142456,1.1650657653808594
01115.jpg,bottom,19.78520512580872,18.6214280128479,1.163777112960819
01768.jpg,left,20.83292961120605,19.670919179916385,1.1620104312896657
00363.jpg,top,22.005536556243896,20.84491729736328,1.1606192588806152
01873.jpg,right,21.33848667144776,20.18240451812744,1.1560821533203196
00321.jpg,left,21.1116361618042,19.960240125656128,1.1513960361480713
00934.jpg,center,21.408162117004395,20.262224674224854,1.145937442779541
00708.jpg,center,21.62397623062133,20.487699508666992,1.1362767219543386
01873.jpg,left,21.317951679229736,20.18240451812744,1.135547161102295
00093.jpg,bottom,20.840771198272705,19.708174467086792,1.132596731185913
00913.jpg,left,21.27924680709839,20.150818824768063,1.1284279823303258
00506.jpg,center,21.56466007232666,20.441033840179443,1.1236262321472168
00093.jpg,left,20.830962657928467,19.708174467086792,1.1227881908416748
00323.jpg,left,20.807042121887207,19.685922861099243,1.1211192607879639
00431.jpg,left,20.476131439208984,19.376702308654785,1.0994291305541992
00866.jpg,bottom,21.928927898406982,20.83037614822388,1.098551750183102
00045.jpg,center,23.219690322875977,22.12937593460083,1.0903143882751465
01335.jpg,center,22.564828395843502,21.474761962890625,1.0900664329528773
